Istasyon_No|Istasyon_Adi|YIL|AY|ORTALAMA_NEM_%
17186|MAN?SA|2009|11|83.1
17186|MAN?SA|2009|12|84.3
17186|MAN?SA|2009|13|61.6
17186|MAN?SA|2010|1|75.7
17186|MAN?SA|2010|2|74.8
17186|MAN?SA|2010|3|65.8
17186|MAN?SA|2010|4|56.4
17186|MAN?SA|2010|5|47.6
17186|MAN?SA|2010|6|52.6
17186|MAN?SA|2010|7|44.5
17186|MAN?SA|2010|8|42.6
17186|MAN?SA|2010|9|46.1
17186|MAN?SA|2010|10|63.2
17186|MAN?SA|2010|11|70.0
17186|MAN?SA|2010|12|71.5
17186|MAN?SA|2010|13|59.1
17186|MAN?SA|2011|1|76.9
17186|MAN?SA|2011|2|66.8
17186|MAN?SA|2011|3|59.0
17186|MAN?SA|2011|4|58.0
17186|MAN?SA|2011|5|54.4
17186|MAN?SA|2011|6|45.7
17186|MAN?SA|2011|7|34.9
17186|MAN?SA|2011|8|35.3
17186|MAN?SA|2011|9|37.4
17186|MAN?SA|2011|10|55.7
17186|MAN?SA|2011|11|55.7
17186|MAN?SA|2011|12|72.1
17186|MAN?SA|2011|13|54.3
17186|MAN?SA|2012|1|70.2
17186|MAN?SA|2012|2|68.7
17186|MAN?SA|2012|3|54.1
17186|MAN?SA|2012|4|53.7
17186|MAN?SA|2012|5|55.7
17186|MAN?SA|2012|6|37.4
17186|MAN?SA|2012|7|34.0
17186|MAN?SA|2012|8|29.1
17186|MAN?SA|2012|9|41.2
17186|MAN?SA|2012|10|49.6
17186|MAN?SA|2012|11|62.6
17186|MAN?SA|2012|12|73.1
17186|MAN?SA|2012|13|52.4
17186|MAN?SA|2013|1|71.7
17186|MAN?SA|2013|2|71.6
17186|MAN?SA|2013|3|57.6
17186|MAN?SA|2013|4|52.8
17186|MAN?SA|2013|5|46.2
17186|MAN?SA|2013|6|39.7
17186|MAN?SA|2013|7|32.4
17186|MAN?SA|2013|8|34.5
17186|MAN?SA|2013|9|44.2
17186|MAN?SA|2013|10|64.4
17186|MAN?SA|2013|11|79.6
17186|MAN?SA|2013|12|75.3
17186|MAN?SA|2013|13|55.7
17186|MAN?SA|2014|1|84.8
17186|MAN?SA|2014|2|75.0
17186|MAN?SA|2014|3|66.4
17186|MAN?SA|2014|4|63.7
17186|MAN?SA|2014|5|58.1
17186|MAN?SA|2014|6|55.4
17186|MAN?SA|2014|7|46.6
