Istasyon_No|Istasyon_Adi|YIL|AY|MAKSIMUM_SICAKLIK_C
17186|MAN?SA|2011|6|36.2
17186|MAN?SA|2011|7|39.3
17186|MAN?SA|2011|8|37.6
17186|MAN?SA|2011|9|38.3
17186|MAN?SA|2011|10|29.5
17186|MAN?SA|2011|11|20.3
17186|MAN?SA|2011|12|19.9
17186|MAN?SA|2011|13|39.3
17186|MAN?SA|2012|1|15.0
17186|MAN?SA|2012|2|17.7
17186|MAN?SA|2012|3|23.3
17186|MAN?SA|2012|4|30.1
17186|MAN?SA|2012|5|31.4
17186|MAN?SA|2012|6|39.1
17186|MAN?SA|2012|7|42.0
17186|MAN?SA|2012|8|40.4
17186|MAN?SA|2012|9|36.5
17186|MAN?SA|2012|10|33.8
17186|MAN?SA|2012|11|27.9
17186|MAN?SA|2012|12|23.7
17186|MAN?SA|2012|13|42.0
17186|MAN?SA|2013|1|18.7
17186|MAN?SA|2013|2|20.9
17186|MAN?SA|2013|3|26.9
17186|MAN?SA|2013|4|34.7
17186|MAN?SA|2013|5|34.9
17186|MAN?SA|2013|6|38.3
17186|MAN?SA|2013|7|38.8
17186|MAN?SA|2013|8|39.5
17186|MAN?SA|2013|9|36.2
17186|MAN?SA|2013|10|29.8
17186|MAN?SA|2013|11|23.9
17186|MAN?SA|2013|12|15.8
17186|MAN?SA|2013|13|39.5
17186|MAN?SA|2014|1|19.4
17186|MAN?SA|2014|2|20.8
17186|MAN?SA|2014|3|24.2
17186|MAN?SA|2014|4|28.4
17186|MAN?SA|2014|5|32.5
17186|MAN?SA|2014|6|39.0
17186|MAN?SA|2014|7|39.3
17186|MAN?SA|2014|8|39.8
17186|MAN?SA|2014|9|33.9
17186|MAN?SA|2014|10|29.7
17186|MAN?SA|2014|11|21.8
17186|MAN?SA|2014|12|21.8
17186|MAN?SA|2014|13|39.8
17186|MAN?SA|2015|1|19.0
17186|MAN?SA|2015|2|21.3
17186|MAN?SA|2015|3|23.5
17186|MAN?SA|2015|4|29.5
17186|MAN?SA|2015|5|35.1
17186|MAN?SA|2015|6|35.9
17186|MAN?SA|2015|7|41.7
17186|MAN?SA|2015|8|38.6
17186|MAN?SA|2015|9|39.8
17186|MAN?SA|2015|10|29.4
