Istasyon_No|Istasyon_Adi|YIL|AY|ORTALAMA_SICAKLIK_?C
17186|MAN?SA|2012|13|17.5
17186|MAN?SA|2013|1|7.5
17186|MAN?SA|2013|2|9.3
17186|MAN?SA|2013|3|12.5
17186|MAN?SA|2013|4|15.9
17186|MAN?SA|2013|5|22.5
17186|MAN?SA|2013|6|25.5
17186|MAN?SA|2013|7|27.9
17186|MAN?SA|2013|8|28.6
17186|MAN?SA|2013|9|23.1
17186|MAN?SA|2013|10|15.6
17186|MAN?SA|2013|11|12.5
17186|MAN?SA|2013|12|4.8
17186|MAN?SA|2013|13|17.2
17186|MAN?SA|2014|1|8.9
17186|MAN?SA|2014|2|9.5
17186|MAN?SA|2014|3|11.6
17186|MAN?SA|2014|4|15.8
17186|MAN?SA|2014|5|20.1
17186|MAN?SA|2014|6|24.0
17186|MAN?SA|2014|7|27.6
17186|MAN?SA|2014|8|28.5
17186|MAN?SA|2014|9|23.0
17186|MAN?SA|2014|10|18.2
17186|MAN?SA|2014|11|12.1
17186|MAN?SA|2014|12|9.5
17186|MAN?SA|2014|13|17.5
17186|MAN?SA|2015|1|6.4
17186|MAN?SA|2015|2|8.0
17186|MAN?SA|2015|3|10.8
17186|MAN?SA|2015|4|13.7
17186|MAN?SA|2015|5|21.6
17186|MAN?SA|2015|6|23.7
17186|MAN?SA|2015|7|28.8
17186|MAN?SA|2015|8|28.6
17186|MAN?SA|2015|9|25.7
17186|MAN?SA|2015|10|18.6
