Istasyon_No|Istasyon_Adi|YIL|AY|MAKSIMUM_NEM
17186|MAN?SA|2007|13|100.0
17186|MAN?SA|2008|1|100.0
17186|MAN?SA|2008|2|100.0
17186|MAN?SA|2008|3|100.0
17186|MAN?SA|2008|4|100.0
17186|MAN?SA|2008|5|100.0
17186|MAN?SA|2008|6|98.0
17186|MAN?SA|2008|7|69.0
17186|MAN?SA|2008|8|77.0
17186|MAN?SA|2008|9|97.0
17186|MAN?SA|2008|10|99.0
17186|MAN?SA|2008|11|99.0
17186|MAN?SA|2008|12|99.0
17186|MAN?SA|2008|13|100.0
17186|MAN?SA|2009|1|99.0
17186|MAN?SA|2009|2|99.0
17186|MAN?SA|2009|3|99.0
17186|MAN?SA|2009|4|99.0
17186|MAN?SA|2009|5|99.0
17186|MAN?SA|2009|6|90.0
17186|MAN?SA|2009|7|69.0
17186|MAN?SA|2009|8|78.0
17186|MAN?SA|2009|9|99.0
17186|MAN?SA|2009|10|99.0
17186|MAN?SA|2009|11|99.0
17186|MAN?SA|2009|12|99.0
17186|MAN?SA|2009|13|99.0
17186|MAN?SA|2010|1|99.0
17186|MAN?SA|2010|2|99.0
17186|MAN?SA|2010|3|99.0
17186|MAN?SA|2010|4|94.0
17186|MAN?SA|2010|5|93.0
17186|MAN?SA|2010|6|94.0
17186|MAN?SA|2010|7|79.0
17186|MAN?SA|2010|8|84.0
17186|MAN?SA|2010|9|91.0
17186|MAN?SA|2010|10|94.0
17186|MAN?SA|2010|11|93.0
17186|MAN?SA|2010|12|93.0
17186|MAN?SA|2010|13|99.0
17186|MAN?SA|2011|1|92.0
17186|MAN?SA|2011|2|92.0
17186|MAN?SA|2011|3|95.0
17186|MAN?SA|2011|4|91.0
17186|MAN?SA|2011|5|90.0
17186|MAN?SA|2011|6|88.0
17186|MAN?SA|2011|7|74.0
17186|MAN?SA|2011|8|71.0
17186|MAN?SA|2011|9|88.0
17186|MAN?SA|2011|10|91.0
17186|MAN?SA|2011|11|87.0
17186|MAN?SA|2011|12|98.0
17186|MAN?SA|2011|13|98.0
17186|MAN?SA|2012|1|96.0
17186|MAN?SA|2012|2|95.0
17186|MAN?SA|2012|3|91.0
17186|MAN?SA|2012|4|88.0
17186|MAN?SA|2012|5|92.0
17186|MAN?SA|2012|6|90.0
17186|MAN?SA|2012|7|77.0
17186|MAN?SA|2012|8|67.0
17186|MAN?SA|2012|9|77.0
17186|MAN?SA|2012|10|86.0
17186|MAN?SA|2012|11|91.0
17186|MAN?SA|2012|12|98.0
17186|MAN?SA|2012|13|98.0
17186|MAN?SA|2013|1|99.0
17186|MAN?SA|2013|2|98.0
17186|MAN?SA|2013|3|96.0
17186|MAN?SA|2013|4|94.0
17186|MAN?SA|2013|5|92.0
17186|MAN?SA|2013|6|93.0
17186|MAN?SA|2013|7|80.0
17186|MAN?SA|2013|8|88.0
17186|MAN?SA|2013|9|96.0
17186|MAN?SA|2013|10|98.0
17186|MAN?SA|2013|11|98.0
17186|MAN?SA|2013|12|98.0
17186|MAN?SA|2013|13|99.0
17186|MAN?SA|2014|1|99.0
17186|MAN?SA|2014|2|98.0
17186|MAN?SA|2014|3|99.0
17186|MAN?SA|2014|4|98.0
17186|MAN?SA|2014|5|97.0
17186|MAN?SA|2014|6|98.0
17186|MAN?SA|2014|7|89.0
17186|MAN?SA|2014|8|94.0
17186|MAN?SA|2014|9|97.0
17186|MAN?SA|2014|10|98.0
17186|MAN?SA|2014|11|98.0
17186|MAN?SA|2014|12|99.0
17186|MAN?SA|2014|13|99.0
17186|MAN?SA|2015|1|99.0
17186|MAN?SA|2015|2|98.0
17186|MAN?SA|2015|3|98.0
17186|MAN?SA|2015|4|98.0
17186|MAN?SA|2015|5|97.0
17186|MAN?SA|2015|6|97.0
17186|MAN?SA|2015|7|78.0
17186|MAN?SA|2015|8|93.0
17186|MAN?SA|2015|9|96.0
17186|MAN?SA|2015|10|98.0
17186|MAN?SA|2015|11|97.0
