Istasyon_No|Istasyon_Adi|YIL|AY|MINIMUM_SICAKLIK_C
17186|MAN?SA|2005|9|13.6
17186|MAN?SA|2005|10|3.7
17186|MAN?SA|2005|11|-1.1
17186|MAN?SA|2005|12|-4.0
17186|MAN?SA|2005|13|-4.0
17186|MAN?SA|2006|1|-7.0
17186|MAN?SA|2006|2|-5.0
17186|MAN?SA|2006|3|-2.2
17186|MAN?SA|2006|4|7.0
17186|MAN?SA|2006|5|7.0
17186|MAN?SA|2006|6|13.3
17186|MAN?SA|2006|7|18.0
17186|MAN?SA|2006|8|19.3
17186|MAN?SA|2006|9|14.0
17186|MAN?SA|2006|10|10.1
17186|MAN?SA|2006|11|-1.0
17186|MAN?SA|2006|12|-6.0
17186|MAN?SA|2006|13|-7.0
17186|MAN?SA|2007|1|-2.6
17186|MAN?SA|2007|2|-2.2
17186|MAN?SA|2007|3|2.0
17186|MAN?SA|2007|4|3.9
17186|MAN?SA|2007|5|10.8
17186|MAN?SA|2007|6|15.7
17186|MAN?SA|2007|7|19.1
17186|MAN?SA|2007|8|19.2
17186|MAN?SA|2007|9|12.9
17186|MAN?SA|2007|10|5.9
17186|MAN?SA|2007|11|2.1
17186|MAN?SA|2007|12|-2.1
17186|MAN?SA|2007|13|-2.6
17186|MAN?SA|2008|1|-3.5
17186|MAN?SA|2008|2|-6.6
17186|MAN?SA|2008|3|2.4
17186|MAN?SA|2008|4|5.0
17186|MAN?SA|2008|5|8.3
17186|MAN?SA|2008|6|14.8
17186|MAN?SA|2008|7|18.2
17186|MAN?SA|2008|8|20.1
17186|MAN?SA|2008|9|10.7
17186|MAN?SA|2008|10|8.0
17186|MAN?SA|2008|11|5.3
17186|MAN?SA|2008|12|-2.6
17186|MAN?SA|2008|13|-6.6
17186|MAN?SA|2009|1|-1.4
17186|MAN?SA|2009|2|1.3
17186|MAN?SA|2009|3|0.0
17186|MAN?SA|2009|4|6.2
17186|MAN?SA|2009|5|9.7
17186|MAN?SA|2009|6|15.0
17186|MAN?SA|2009|7|20.5
17186|MAN?SA|2009|8|18.1
17186|MAN?SA|2009|9|12.6
17186|MAN?SA|2009|10|9.4
17186|MAN?SA|2009|11|2.6
17186|MAN?SA|2009|12|1.6
17186|MAN?SA|2009|13|-1.4
17186|MAN?SA|2010|1|-4.0
17186|MAN?SA|2010|2|-2.8
17186|MAN?SA|2010|3|0.6
17186|MAN?SA|2010|4|5.6
17186|MAN?SA|2010|5|10.0
17186|MAN?SA|2010|6|15.5
17186|MAN?SA|2010|7|19.3
17186|MAN?SA|2010|8|20.3
17186|MAN?SA|2010|9|15.1
17186|MAN?SA|2010|10|3.9
17186|MAN?SA|2010|11|6.3
17186|MAN?SA|2010|12|-3.2
17186|MAN?SA|2010|13|-4.0
17186|MAN?SA|2011|1|-1.6
17186|MAN?SA|2011|2|-2.0
17186|MAN?SA|2011|3|-0.8
17186|MAN?SA|2011|4|0.1
17186|MAN?SA|2011|5|5.9
17186|MAN?SA|2011|6|13.6
17186|MAN?SA|2011|7|17.3
17186|MAN?SA|2011|8|16.9
17186|MAN?SA|2011|9|15.1
17186|MAN?SA|2011|10|2.8
17186|MAN?SA|2011|11|-1.5
17186|MAN?SA|2011|12|-2.3
17186|MAN?SA|2011|13|-2.3
17186|MAN?SA|2012|1|-3.9
17186|MAN?SA|2012|2|-3.1
17186|MAN?SA|2012|3|-1.7
17186|MAN?SA|2012|4|4.7
17186|MAN?SA|2012|5|10.7
17186|MAN?SA|2012|6|13.5
17186|MAN?SA|2012|7|21.0
17186|MAN?SA|2012|8|18.8
17186|MAN?SA|2012|9|12.2
17186|MAN?SA|2012|10|10.0
17186|MAN?SA|2012|11|2.4
17186|MAN?SA|2012|12|-1.8
17186|MAN?SA|2012|13|-3.9
17186|MAN?SA|2013|1|-5.6
17186|MAN?SA|2013|2|-0.2
17186|MAN?SA|2013|3|-0.3
17186|MAN?SA|2013|4|4.6
17186|MAN?SA|2013|5|10.6
17186|MAN?SA|2013|6|14.5
17186|MAN?SA|2013|7|17.6
17186|MAN?SA|2013|8|18.9
17186|MAN?SA|2013|9|12.0
17186|MAN?SA|2013|10|5.6
17186|MAN?SA|2013|11|2.0
17186|MAN?SA|2013|12|-2.4
