algorithm,feature_combo,name,st_num,dataset,MAE,RMSE,R2,WI
SVR,12,svr_12,17924,train,0.458184968447605,0.561055693329413,0.8602296369404179,0.8243697699787975
SVR,12,svr_12,17860,train,0.3885942639276883,0.4927411681321855,0.9309862335932362,0.8838333659748391
SVR,12,svr_12,17186,train,0.2474559061341007,0.3465436721954928,0.9689687754654588,0.9303526651961612
SVR,12,svr_12,17227,train,0.773184922557098,0.8456438468362514,0.8199406277617706,0.7840625771249677
SVR,13,svr_13,17237,test,0.3341463207870457,0.4390227520389354,0.9058468928500982,0.866753054846895
SVR,13,svr_13,17862,test,0.3415224521943011,0.4503554668239024,0.9147200674098368,0.8716554169191527
SVR,13,svr_13,17884,test,0.4465347395609183,0.5971393824467266,0.863321918481122,0.8441648279670128
SVR,13,svr_13,17296,train,0.3263294869991537,0.4105414568369028,0.9363504556533574,0.8855825411100009
SVR,13,svr_13,17298,train,0.350300122561648,0.4536491762418827,0.93771092146779,0.8908954947344796
SVR,13,svr_13,17824,train,0.5421433591323772,0.7261226173981845,0.8936288724414287,0.8597996556629359
SVR,13,svr_13,17886,train,0.3713016197582396,0.4924692347763306,0.9257896064826374,0.8836716578877881
SVR,13,svr_13,17924,train,0.3818168266346394,0.499665810538108,0.8891431806680418,0.8536430007404844
SVR,13,svr_13,17860,train,0.4088169371933232,0.531344414912546,0.9197490334139792,0.8777879862502002
SVR,13,svr_13,17186,train,0.3537882031870665,0.4563560364390218,0.9461865833536822,0.9004250663402429
SVR,13,svr_13,17227,train,0.3850702532006393,0.4769102543806607,0.942731729639364,0.8924564154368366
SVR,14,svr_14,17237,test,0.41183744451447535,0.5181551189722104,0.8688464086990593,0.8357723010327915
SVR,14,svr_14,17862,test,0.3590047121658738,0.45923705977909396,0.9113232381374401,0.8650855608146821
SVR,14,svr_14,17884,test,0.2566636854688424,0.32400997527137787,0.9597594222987076,0.9104275075686447
SVR,14,svr_14,17296,train,0.34816014602782186,0.41361141375879645,0.9353949762760533,0.877928287873729
SVR,14,svr_14,17298,train,0.2622569763136967,0.36048932044876053,0.9606670554883812,0.9183174203768609
SVR,14,svr_14,17824,train,1.3000196539915005,1.5238905211717377,0.531498086127191,0.6638099497774068
SVR,14,svr_14,17886,train,0.3283323748635473,0.4137795783674944,0.9476104545245846,0.897133869616538
SVR,14,svr_14,17924,train,0.4734377872511709,0.5788384428687091,0.851229138166395,0.8185231004906685
SVR,14,svr_14,17860,train,0.40434185146944607,0.5015597840830517,0.928493841774882,0.8791257714255717
SVR,14,svr_14,17186,train,0.3322622268718239,0.4538008257062121,0.9467875161938829,0.9064836280566674
SVR,14,svr_14,17227,train,0.7240165169162766,0.7969118637391236,0.8400952628185335,0.7977944781116546
