st_num,date,year,month,latitude,longitude,elevation,min_temp,max_temp,avg_temp,min_hum,max_hum,avg_hum,avg_ws,inc_rad,sun_duration,G,Ra,Rso,Rn,ET0
17296,1991-07-15,1991,7,36.6266,29.1238,3.0,16.2,37.6,26.9,33.0,95.0,64.0,1.1967217202687106,25.011952,11.2,0.3010000000000001,40.74015113749315,30.55755776218811,14.577842385468646,5.929399242333767
17296,1991-08-15,1991,8,36.6266,29.1238,3.0,16.5,38.4,27.45,28.0,91.0,59.5,1.121926612751916,22.744224000000003,11.1,-0.1539999999999999,37.05933921142589,27.796727968922102,12.731116659293123,5.591815677629296
17296,1991-09-15,1991,9,36.6266,29.1238,3.0,11.0,38.4,24.7,26.0,95.0,60.5,1.1967217202687106,20.162696,10.0,-0.4444999999999999,31.176363830378104,23.3841434546134,9.682265952338838,5.162947177017363
17296,1991-10-15,1991,10,36.6266,29.1238,3.0,3.6,38.6,21.1,27.0,94.0,60.5,0.9723363977183274,13.903432,7.5,-0.8085000000000001,24.01578084169289,18.01327657812017,5.008425644622302,4.031289364864188
17296,1991-11-15,1991,11,36.6266,29.1238,3.0,3.4,22.9,13.15,28.0,93.0,60.5,0.9723363977183274,9.970472,6.1,-0.7840000000000001,18.281233744491463,13.712022182393266,3.050537205798329,1.980200175744144
17296,1991-12-15,1991,12,36.6266,29.1238,3.0,-0.5,20.3,9.9,24.0,95.0,59.5,1.645492365369477,6.744608,3.6,-0.3009999999999999,15.667748706345536,11.751751594681531,2.021953351208062,2.162376712723164
17296,1992-01-15,1992,1,36.6266,29.1238,3.0,-1.1,18.8,8.85,24.0,95.0,59.5,0.9723363977183274,9.941184000000002,6.1,-0.105,17.08329571887093,12.813496786896328,2.4787288812587613,1.5310340447983568
17296,1992-02-15,1992,2,36.6266,29.1238,3.0,-3.2,20.0,8.4,23.0,95.0,59.0,1.795082580403066,12.577104000000002,5.7,0.2485,22.067243089391603,16.551756351629063,4.525573760346252,2.720948783464868
17296,1992-03-15,1992,3,36.6266,29.1238,3.0,0.2,24.6,12.4,30.0,96.0,63.0,1.1967217202687106,14.677472,5.2,0.49,29.22923344439653,21.92367883730406,7.066712365890234,3.033691771057073
17296,1992-04-15,1992,4,36.6266,29.1238,3.0,4.3,26.5,15.4,30.0,96.0,63.0,1.1967217202687106,21.083176,8.2,0.476,35.70551947869352,26.781281940188855,10.978657896494568,3.962803653025403
